20700	217	5157	0.08280625
20800	217	5094	0.0817889583
20900	217	5032	0.0807716667
21000	217	4970	0.079754375
21100	218	4908	0.0787370833
21200	218	4846	0.0777197917
21300	218	4784	0.0767025
21400	218	4722	0.0756852083
21500	218	4660	0.0746679167
21600	218	4598	0.073650625
21700	218	4536	0.0726333333
21800	218	4474	0.0716160417
21900	218	4412	0.07059875
22000	218	4349	0.0695814583
22100	219	4287	0.0685641667
22200	219	4225	0.067546875
22300	219	4163	0.0665295833
22400	219	4101	0.0655122917
22500	219	4039	0.064495
22600	219	3977	0.0634777083
22700	219	3915	0.0624604167
22800	219	3853	0.061443125
22900	219	3791	0.0604258333
23000	219	3729	0.0594085417
23100	220	3667	0.05839125
23200	220	3604	0.0573739583
23300	220	3542	0.0563566667
23400	220	3480	0.055339375
23500	220	3418	0.0543220833
23600	220	3356	0.0533047917
23700	220	3294	0.0522875
23800	220	3232	0.0512702083
23900	220	3170	0.0502529167
24000	220	3108	0.049235625
24100	221	3046	0.0482183333
24200	221	2984	0.0472010417
24300	221	2922	0.04618375
24400	221	2859	0.0451664583
24500	221	2797	0.0441491667
24600	221	2735	0.043131875
24700	221	2673	0.0421145833
24800	221	2611	0.0410972917
24900	221	2549	0.04008
25000	221	2549	0.04008
25100	221	2549	0.04008
25200	222	2521	0.0396285417
25300	222	2493	0.0391770833
25400	222	2465	0.038725625
25500	222	2436	0.0382741667
25600	222	2408	0.0378227083
25700	222	2380	0.03737125
25800	222	2352	0.0369197917
25900	222	2324	0.0364683333
26000	222	2296	0.036016875
26100	222	2267	0.0355654167
26200	223	2239	0.0351139583
26300	223	2211	0.0346625
26400	223	2183	0.0342110417
26500	223	2155	0.0337595833
26600	223	2127	0.033308125
26700	223	2098	0.0328566667
26800	223	2070	0.0324052083
26900	223	2042	0.03195375
27000	223	2014	0.0315022917
27100	223	1986	0.0310508333
27200	224	1958	0.030599375
27300	224	1929	0.0301479167
27400	224	1901	0.0296964583
27500	224	1873	0.029245
27600	224	1845	0.0287935417
27700	224	1817	0.0283420833
27800	224	1789	0.027890625
27900	224	1760	0.0274391667
28000	224	1732	0.0269877083
28100	225	1704	0.02653625
28200	225	1676	0.0260847917
28300	225	1648	0.0256333333
28400	225	1620	0.025181875
28500	225	1591	0.0247304167
28600	225	1563	0.0242789583
28700	225	1535	0.0238275
28800	225	1507	0.0233760417
28900	225	1479	0.0229245833
29000	225	1451	0.022473125
29100	226	1422	0.0220216667
29200	226	1394	0.0215702083
29300	226	1366	0.02111875
29400	226	1338	0.0206672917
29500	226	1310	0.0202158333
29600	226	1282	0.019764375
29700	226	1253	0.0193129167
29800	226	1225	0.0188614583
29900	226	1197	0.01841
30000	226	1197	0.01841
30100	227	1188	0.018264404
30200	227	1179	0.0181188081
30300	227	1169	0.0179732121
30400	227	1160	0.0178276162
30500	228	1151	0.0176820202
30600	228	1142	0.0175364242
30700	228	1133	0.0173908283
30800	228	1123	0.0172452323
30900	229	1114	0.0170996364
31000	229	1105	0.0169540404
31100	229	1096	0.0168084444
31200	229	1087	0.0166628485
31300	229	1078	0.0165172525
31400	230	1068	0.0163716566
31500	230	1059	0.0162260606
31600	230	1050	0.0160804646
31700	230	1041	0.0159348687
31800	231	1032	0.0157892727
31900	231	1022	0.0156436768
32000	231	1013	0.0154980808
32100	231	1004	0.0153524848
32200	232	995	0.0152068889
32300	232	986	0.0150612929
32400	232	976	0.014915697
32500	232	967	0.014770101
32600	233	958	0.0146245051
32700	233	949	0.0144789091
32800	233	940	0.0143333131
32900	233	930	0.0141877172
33000	234	921	0.0140421212
33100	234	912	0.0138965253
33200	234	903	0.0137509293
33300	234	894	0.0136053333
33400	235	884	0.0134597374
33500	235	875	0.0133141414
33600	235	866	0.0131685455
33700	235	857	0.0130229495
33800	236	848	0.0128773535
33900	236	839	0.0127317576
34000	236	829	0.0125861616
34100	236	820	0.0124405657
34200	236	811	0.0122949697
34300	237	802	0.0121493737
34400	237	793	0.0120037778
34500	237	783	0.0118581818
34600	237	774	0.0117125859
34700	238	765	0.0115669899
34800	238	756	0.0114213939
34900	238	747	0.011275798
35000	238	737	0.011130202
35100	239	728	0.0109846061
35200	239	719	0.0108390101
35300	239	710	0.0106934141
35400	239	701	0.0105478182
35500	240	691	0.0104022222
35600	240	682	0.0102566263
35700	240	673	0.0101110303
35800	240	664	0.0099654343
35900	241	655	0.0098198384
